"dataset","signal","noise","instance","recovered_pct"
"marker_poisson","marker","poisson","PLit_Pois",100
"marker_poisson","marker","poisson","PLit_NB",100
"marker_poisson","marker","poisson","ReThiN_Pois",100
"marker_poisson","marker","poisson","ReThiN_NB",99.8
"subtle_poisson","subtle","poisson","PLit_Pois",0
"subtle_poisson","subtle","poisson","PLit_NB",0
"subtle_poisson","subtle","poisson","ReThiN_Pois",36.3
"subtle_poisson","subtle","poisson","ReThiN_NB",15.1
"multi_poisson","multi","poisson","PLit_Pois",100
"multi_poisson","multi","poisson","PLit_NB",95.7
"multi_poisson","multi","poisson","ReThiN_Pois",100
"multi_poisson","multi","poisson","ReThiN_NB",62.4
"dropout_poisson","dropout","poisson","PLit_Pois",100
"dropout_poisson","dropout","poisson","PLit_NB",100
"dropout_poisson","dropout","poisson","ReThiN_Pois",100
"dropout_poisson","dropout","poisson","ReThiN_NB",0
"marker_nb","marker","nb","PLit_Pois",99.6
"marker_nb","marker","nb","PLit_NB",99.9
"marker_nb","marker","nb","ReThiN_Pois",100
"marker_nb","marker","nb","ReThiN_NB",97.1
"subtle_nb","subtle","nb","PLit_Pois",81.5
"subtle_nb","subtle","nb","PLit_NB",0
"subtle_nb","subtle","nb","ReThiN_Pois",79.6
"subtle_nb","subtle","nb","ReThiN_NB",12.6
"multi_nb","multi","nb","PLit_Pois",98.6
"multi_nb","multi","nb","PLit_NB",5.3
"multi_nb","multi","nb","ReThiN_Pois",99.5
"multi_nb","multi","nb","ReThiN_NB",89.6
"dropout_nb","dropout","nb","PLit_Pois",100
"dropout_nb","dropout","nb","PLit_NB",24.8
"dropout_nb","dropout","nb","ReThiN_Pois",100
"dropout_nb","dropout","nb","ReThiN_NB",0
