"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN_NB",1,100,1,0.389652828759967,0.544266969308355
"ReThiN_NB",1,100,2,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,3,0.390286833780345,0.545002008518345
"ReThiN_NB",1,100,4,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,5,0.389855847994237,0.544528447586749
"ReThiN_NB",1,100,6,0.389652828759967,0.544266969308355
"ReThiN_NB",1,100,7,0.389652828759967,0.544266969308355
"ReThiN_NB",1,100,8,0.389438595089458,0.543928964091471
"ReThiN_NB",1,100,9,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,10,0.390082134798047,0.544536937026475
"ReThiN_NB",1,100,11,0.389628167995101,0.544105434592142
"ReThiN_NB",1,100,12,0.38980966445128,0.544370101107943
"ReThiN_NB",1,100,13,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,14,0.389477199238913,0.543937536508812
"ReThiN_NB",1,100,15,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,16,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,17,0.389628167995101,0.544105434592142
"ReThiN_NB",1,100,18,0.389369652873928,0.543994663263354
"ReThiN_NB",1,100,19,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,20,0.389319463244081,0.543888769521697
"ReThiN_NB",1,100,21,0.389467832138362,0.54407945040905
"ReThiN_NB",1,100,22,0.390228677101407,0.544576390160174
"ReThiN_NB",1,100,23,0.389423658904371,0.544063633830929
"ReThiN_NB",1,100,24,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,25,0.389438595089458,0.543928964091471
"ReThiN_NB",1,100,26,0.396803326381612,0.548408759293273
"ReThiN_NB",1,100,27,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,28,0.411319614731443,0.564305633262067
"ReThiN_NB",1,100,29,0.389350092207427,0.54377073059845
"ReThiN_NB",1,100,30,0.389477199238913,0.543937536508812
"ReThiN_NB",2,100,1,0.367869724188659,0.529524355635586
"ReThiN_NB",2,100,2,0.36747337297047,0.528948665781166
"ReThiN_NB",2,100,3,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,4,0.365298615000312,0.528495051017689
"ReThiN_NB",2,100,5,0.367270363609496,0.529164048171421
"ReThiN_NB",2,100,6,0.367270363609496,0.529164048171421
"ReThiN_NB",2,100,7,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,8,0.367869724188659,0.529524355635586
"ReThiN_NB",2,100,9,0.367270363609496,0.529164048171421
"ReThiN_NB",2,100,10,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,11,0.366509902695561,0.529559046832413
"ReThiN_NB",2,100,12,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,13,0.34738130694227,0.522582584656851
"ReThiN_NB",2,100,14,0.367270363609496,0.529164048171421
"ReThiN_NB",2,100,15,0.367650295874349,0.529412375734336
"ReThiN_NB",2,100,16,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,17,0.36747337297047,0.528948665781166
"ReThiN_NB",2,100,18,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,19,0.367650295874349,0.529412375734336
"ReThiN_NB",2,100,20,0.367637048814569,0.529089836004927
"ReThiN_NB",2,100,21,0.367650295874349,0.529412375734336
"ReThiN_NB",2,100,22,0.367270363609496,0.529164048171421
"ReThiN_NB",2,100,23,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,24,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,25,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,26,0.366509902695561,0.529559046832413
"ReThiN_NB",2,100,27,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,28,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,29,0.367493663077732,0.529161442721754
"ReThiN_NB",2,100,30,0.367270363609496,0.529164048171421
"ReThiN_NB",3,100,1,0.370255054131251,0.529076710035882
"ReThiN_NB",3,100,2,0.368746970381936,0.528087238229838
"ReThiN_NB",3,100,3,0.36908987028213,0.528051310178846
"ReThiN_NB",3,100,4,0.369273576368411,0.528416952899213
"ReThiN_NB",3,100,5,0.370035750710409,0.528884572743509
"ReThiN_NB",3,100,6,0.367725488167243,0.526897350784324
"ReThiN_NB",3,100,7,0.370092928473414,0.528967193630755
"ReThiN_NB",3,100,8,0.369254552503827,0.528259054619695
"ReThiN_NB",3,100,9,0.368632208013625,0.527815169266599
"ReThiN_NB",3,100,10,0.370092928473414,0.528967193630755
"ReThiN_NB",3,100,11,0.370324897086181,0.529021303378151
"ReThiN_NB",3,100,12,0.36908987028213,0.528051310178846
"ReThiN_NB",3,100,13,0.370313634551331,0.529100396456011
"ReThiN_NB",3,100,14,0.367725488167243,0.526897350784324
"ReThiN_NB",3,100,15,0.367725488167243,0.526897350784324
"ReThiN_NB",3,100,16,0.368964898919704,0.528122274718338
"ReThiN_NB",3,100,17,0.368632208013625,0.527815169266599
"ReThiN_NB",3,100,18,0.36908987028213,0.528051310178846
"ReThiN_NB",3,100,19,0.369254552503827,0.528259054619695
"ReThiN_NB",3,100,20,0.370092928473414,0.528967193630755
"ReThiN_NB",3,100,21,0.369254552503827,0.528259054619695
"ReThiN_NB",3,100,22,0.370035750710409,0.528884572743509
"ReThiN_NB",3,100,23,0.367725488167243,0.526897350784324
"ReThiN_NB",3,100,24,0.370035750710409,0.528884572743509
"ReThiN_NB",3,100,25,0.369254552503827,0.528259054619695
"ReThiN_NB",3,100,26,0.382710556093839,0.539653625259156
"ReThiN_NB",3,100,27,0.368964898919704,0.528122274718338
"ReThiN_NB",3,100,28,0.36908987028213,0.528051310178846
"ReThiN_NB",3,100,29,0.367725488167243,0.526897350784324
"ReThiN_NB",3,100,30,0.367725488167243,0.526897350784324
"ReThiN_NB",4,100,1,0.384396951674407,0.536595651320217
"ReThiN_NB",4,100,2,0.384929634228876,0.537052080655283
"ReThiN_NB",4,100,3,0.383805459790417,0.536254625261184
"ReThiN_NB",4,100,4,0.384333534044723,0.53666739280428
"ReThiN_NB",4,100,5,0.384818583288701,0.536888842101614
"ReThiN_NB",4,100,6,0.384929634228876,0.537052080655283
"ReThiN_NB",4,100,7,0.384929634228876,0.537052080655283
"ReThiN_NB",4,100,8,0.384818583288701,0.536888842101614
"ReThiN_NB",4,100,9,0.384333534044723,0.53666739280428
"ReThiN_NB",4,100,10,0.384616687440123,0.536783985001599
"ReThiN_NB",4,100,11,0.38311087858303,0.53608507204909
"ReThiN_NB",4,100,12,0.384929634228876,0.537052080655283
