"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN",1,100,1,0.506447088532138,0.624032109018342
"ReThiN",1,100,2,0.481868683919789,0.606848345145562
"ReThiN",1,100,3,0.482315901278441,0.609768972281335
"ReThiN",1,100,4,0.519286840098155,0.624514157821902
"ReThiN",1,100,5,0.480054270588965,0.605451556640006
"ReThiN",1,100,6,0.495457999326289,0.615178264694639
"ReThiN",1,100,7,0.481740120142982,0.609782075747531
"ReThiN",1,100,8,0.474286630237641,0.604909635737558
"ReThiN",1,100,9,0.482692881649896,0.610157618192239
"ReThiN",1,100,10,0.478176271386715,0.608120685512694
"ReThiN",1,100,11,0.506602690367704,0.618624711289851
"ReThiN",1,100,12,0.507108259891089,0.619067117094426
"ReThiN",1,100,13,0.453069225511187,0.60076837960883
"ReThiN",1,100,14,0.451045558286566,0.598824019463709
"ReThiN",1,100,15,0.506447088532138,0.624032109018342
"ReThiN",1,100,16,0.482144990735953,0.609538497181721
"ReThiN",1,100,17,0.482134490786692,0.609664281421394
"ReThiN",1,100,18,0.451079828070511,0.598479961425101
"ReThiN",1,100,19,0.475928831436972,0.608976087385987
"ReThiN",1,100,20,0.477857644753135,0.607659667553242
"ReThiN",1,100,21,0.438919595133497,0.596685916832905
"ReThiN",1,100,22,0.446929972779191,0.595708740832065
"ReThiN",1,100,23,0.482776562373465,0.607454422174355
"ReThiN",1,100,24,0.481963547218098,0.609433829783576
"ReThiN",1,100,25,0.451459340583985,0.598997951229754
"ReThiN",1,100,26,0.476626501301202,0.606655907317626
"ReThiN",1,100,27,0.43689951264238,0.594669528104161
"ReThiN",1,100,28,0.515228428581625,0.62237629223486
"ReThiN",1,100,29,0.476926870970823,0.606503407019059
"ReThiN",1,100,30,0.453582404622558,0.600730492109685
"ReThiN",2,100,1,0.453917836697622,0.571756938566666
"ReThiN",2,100,2,0.461423093271347,0.574938821620635
"ReThiN",2,100,3,0.438852943147133,0.56102570621297
"ReThiN",2,100,4,0.437414652225481,0.557963777876213
"ReThiN",2,100,5,0.465841338151374,0.575521465212083
"ReThiN",2,100,6,0.46491166320451,0.575327751723533
"ReThiN",2,100,7,0.465895002546904,0.575566665634529
"ReThiN",2,100,8,0.465506681820966,0.570419852519574
"ReThiN",2,100,9,0.438800980051473,0.561211597456049
"ReThiN",2,100,10,0.439895314558839,0.560736483361797
"ReThiN",2,100,11,0.43791721077887,0.561817884781821
"ReThiN",2,100,12,0.45963448160842,0.572240994686314
"ReThiN",2,100,13,0.427264382055908,0.550878380764696
"ReThiN",2,100,14,0.46202749148631,0.5751822621963
"ReThiN",2,100,15,0.403006810046814,0.540019952017461
"ReThiN",2,100,16,0.460520635306939,0.57288591384339
"ReThiN",2,100,17,0.418937875965046,0.554551241624753
"ReThiN",2,100,18,0.438771028996465,0.561039576467667
"ReThiN",2,100,19,0.438093535376881,0.561893732636328
"ReThiN",2,100,20,0.45963448160842,0.572240994686314
"ReThiN",2,100,21,0.416612662486104,0.551350206532708
"ReThiN",2,100,22,0.433583127859811,0.553459909751888
"ReThiN",2,100,23,0.438513872353863,0.560804296558225
"ReThiN",2,100,24,0.418482029832206,0.552924317102896
"ReThiN",2,100,25,0.438189019600654,0.561971215170914
"ReThiN",2,100,26,0.41892174910827,0.554655945979125
"ReThiN",2,100,27,0.419170191409572,0.554526699166692
"ReThiN",2,100,28,0.470183834252791,0.578049247451447
"ReThiN",2,100,29,0.459746597418278,0.572422019709677
"ReThiN",2,100,30,0.438736483060818,0.561189321256612
"ReThiN",3,100,1,0.481185878042212,0.592397286602687
"ReThiN",3,100,2,0.429426470748877,0.563640742035873
"ReThiN",3,100,3,0.429182071013019,0.563250940837768
"ReThiN",3,100,4,0.448674556102961,0.57100384395209
"ReThiN",3,100,5,0.474850206374261,0.583030579236067
"ReThiN",3,100,6,0.481185878042212,0.592397286602687
"ReThiN",3,100,7,0.47525394308777,0.583210320685395
"ReThiN",3,100,8,0.429347680260933,0.563619898315801
"ReThiN",3,100,9,0.481417652106765,0.591777761721183
"ReThiN",3,100,10,0.458778074224189,0.579516702427446
"ReThiN",3,100,11,0.440551103588165,0.566363018656083
"ReThiN",3,100,12,0.469578066062953,0.583662740949192
"ReThiN",3,100,13,0.428757691436304,0.563171190761849
"ReThiN",3,100,14,0.469752327936008,0.58384403964317
"ReThiN",3,100,15,0.42105062745793,0.5574438827159
"ReThiN",3,100,16,0.428823849053414,0.563188301744091
"ReThiN",3,100,17,0.448282928278149,0.570443734222949
"ReThiN",3,100,18,0.448365312460288,0.572873254775908
"ReThiN",3,100,19,0.448325428541233,0.570547376423924
"ReThiN",3,100,20,0.470023877368173,0.583492377068396
"ReThiN",3,100,21,0.428993017361583,0.563421277491672
"ReThiN",3,100,22,0.45050412988858,0.573867328466028
"ReThiN",3,100,23,0.424816625123917,0.558535559406353
"ReThiN",3,100,24,0.481592342038529,0.587261109969856
"ReThiN",3,100,25,0.469895139080102,0.583467614746818
"ReThiN",3,100,26,0.401376392839706,0.548035898032347
"ReThiN",3,100,27,0.429147324237281,0.563445648896922
"ReThiN",3,100,28,0.464868475881699,0.579540039479233
"ReThiN",3,100,29,0.448041978374872,0.572622756487181
"ReThiN",3,100,30,0.437285707039876,0.56673666968508
"ReThiN",4,100,1,0.506714978049546,0.624192265952019
"ReThiN",4,100,2,0.481964020911471,0.60688131435739
"ReThiN",4,100,3,0.482134490786692,0.609664281421394
"ReThiN",4,100,4,0.519286840098155,0.624514157821902
"ReThiN",4,100,5,0.480518445814066,0.605249705885457
"ReThiN",4,100,6,0.495457999326289,0.615178264694639
"ReThiN",4,100,7,0.481963547218098,0.609433829783576
"ReThiN",4,100,8,0.47425704930483,0.604991079680377
"ReThiN",4,100,9,0.483051930664691,0.610367788494656
"ReThiN",4,100,10,0.478171071350493,0.608119664013119
"ReThiN",4,100,11,0.50650836225691,0.618539471241753
"ReThiN",4,100,12,0.507108259891089,0.619067117094426
"ReThiN",4,100,13,0.491105929261062,0.610528991939301
"ReThiN",4,100,14,0.451045558286566,0.598824019463709
"ReThiN",4,100,15,0.506714978049546,0.624192265952019
"ReThiN",4,100,16,0.481907590642681,0.609725479929264
"ReThiN",4,100,17,0.482134490786692,0.609664281421394
"ReThiN",4,100,18,0.451018888093287,0.598464347093169
"ReThiN",4,100,19,0.47673365016973,0.609461611145357
"ReThiN",4,100,20,0.477761995682824,0.607329143869419
"ReThiN",4,100,21,0.439064953127469,0.596773868608789
"ReThiN",4,100,22,0.446856458017455,0.595684953904622
"ReThiN",4,100,23,0.482682499594211,0.607425244425218
"ReThiN",4,100,24,0.481963547218098,0.609433829783576
"ReThiN",4,100,25,0.451459340583985,0.598997951229754
"ReThiN",4,100,26,0.476553610105111,0.606630903379693
