"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN_NB",1,100,1,0.357387139679868,0.382095367471274
"ReThiN_NB",1,100,2,0.409998139546479,0.427685128629389
"ReThiN_NB",1,100,3,0.363870719536027,0.388970425085158
"ReThiN_NB",1,100,4,0.368988145233595,0.396008761053535
"ReThiN_NB",1,100,5,0.381822707529514,0.40369278126725
"ReThiN_NB",1,100,6,0.39618906830945,0.421389415076365
"ReThiN_NB",1,100,7,0.368988145233595,0.396008761053535
"ReThiN_NB",1,100,8,0.428279989495384,0.424323497308635
"ReThiN_NB",1,100,9,0.401326089924011,0.415856902040775
"ReThiN_NB",1,100,10,0.360143843886157,0.383475898556315
"ReThiN_NB",1,100,11,0.357387139679868,0.382095367471274
"ReThiN_NB",1,100,12,0.352881968288091,0.388815114725589
"ReThiN_NB",1,100,13,0.381822707529514,0.40369278126725
"ReThiN_NB",1,100,14,0.39960648561829,0.426869696813977
"ReThiN_NB",1,100,15,0.391051409909316,0.413931841198232
"ReThiN_NB",1,100,16,0.368988145233595,0.396008761053535
"ReThiN_NB",1,100,17,0.471607810512916,0.447560351932209
"ReThiN_NB",1,100,18,0.387560160056798,0.409745508643145
"ReThiN_NB",1,100,19,0.368988145233595,0.396008761053535
"ReThiN_NB",1,100,20,0.416736853193681,0.396102331238151
"ReThiN_NB",1,100,21,0.372650102999825,0.394312275540016
"ReThiN_NB",1,100,22,0.37014474369519,0.39402997588699
"ReThiN_NB",1,100,23,0.368988145233595,0.396008761053535
"ReThiN_NB",1,100,24,0.364209129267041,0.39426852406813
"ReThiN_NB",1,100,25,0.469474703756277,0.44313001634069
"ReThiN_NB",1,100,26,0.370070753692535,0.394017228628928
"ReThiN_NB",1,100,27,0.471607810512916,0.447560351932209
"ReThiN_NB",1,100,28,0.390406377850305,0.412345742818332
"ReThiN_NB",1,100,29,0.491359525175137,0.461427631695394
"ReThiN_NB",1,100,30,0.358801962844992,0.393119050323216
"ReThiN_NB",2,100,1,0.307898842222674,0.365242286233143
"ReThiN_NB",2,100,2,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,3,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,4,0.311188271768695,0.357610474304281
"ReThiN_NB",2,100,5,0.32486133153206,0.364233782050309
"ReThiN_NB",2,100,6,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,7,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,8,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,9,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,10,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,11,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,12,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,13,0.309363148728071,0.372992029133631
"ReThiN_NB",2,100,14,0.309363148728071,0.372992029133631
"ReThiN_NB",2,100,15,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,16,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,17,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,18,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,19,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,20,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,21,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,22,0.304968121093918,0.364706015463633
"ReThiN_NB",2,100,23,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,24,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,25,0.346919406519484,0.383448073304614
"ReThiN_NB",2,100,26,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,27,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,28,0.319741089488672,0.364552172366511
"ReThiN_NB",2,100,29,0.291437481649591,0.346509196850479
"ReThiN_NB",2,100,30,0.311188271768695,0.357610474304281
"ReThiN_NB",3,100,1,0.391733038998379,0.430323522969041
"ReThiN_NB",3,100,2,0.375248747169879,0.421200835651754
"ReThiN_NB",3,100,3,0.375248747169879,0.421200835651754
"ReThiN_NB",3,100,4,0.366220117582877,0.416332404382971
"ReThiN_NB",3,100,5,0.385921951841901,0.43586339335102
"ReThiN_NB",3,100,6,0.401617785768752,0.427232183983043
"ReThiN_NB",3,100,7,0.366220117582877,0.416332404382971
"ReThiN_NB",3,100,8,0.385593059461551,0.435905796857887
"ReThiN_NB",3,100,9,0.366220117582877,0.416332404382971
"ReThiN_NB",3,100,10,0.374695143480696,0.42025465290322
"ReThiN_NB",3,100,11,0.401617785768752,0.427232183983043
"ReThiN_NB",3,100,12,0.374695143480696,0.42025465290322
"ReThiN_NB",3,100,13,0.376266439963174,0.421157649624241
"ReThiN_NB",3,100,14,0.376266439963174,0.421157649624241
"ReThiN_NB",3,100,15,0.386421857938022,0.435854401669045
"ReThiN_NB",3,100,16,0.374695143480696,0.42025465290322
"ReThiN_NB",3,100,17,0.374695143480696,0.42025465290322
"ReThiN_NB",3,100,18,0.385921951841901,0.43586339335102
"ReThiN_NB",3,100,19,0.375248747169879,0.421200835651754
"ReThiN_NB",3,100,20,0.385593059461551,0.435905796857887
"ReThiN_NB",3,100,21,0.366220117582877,0.416332404382971
"ReThiN_NB",3,100,22,0.376266439963174,0.421157649624241
"ReThiN_NB",3,100,23,0.385921951841901,0.43586339335102
"ReThiN_NB",3,100,24,0.385593059461551,0.435905796857887
