"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN",1,100,1,0.826657099575934,0.7622978219785
"ReThiN",1,100,2,0.826657099575934,0.7622978219785
"ReThiN",1,100,3,0.826657099575934,0.7622978219785
"ReThiN",1,100,4,0.826657099575934,0.7622978219785
"ReThiN",1,100,5,0.826657099575934,0.7622978219785
"ReThiN",1,100,6,0.826657099575934,0.7622978219785
"ReThiN",1,100,7,0.826657099575934,0.7622978219785
"ReThiN",1,100,8,0.826657099575934,0.7622978219785
"ReThiN",1,100,9,0.826657099575934,0.7622978219785
"ReThiN",1,100,10,0.826657099575934,0.7622978219785
"ReThiN",1,100,11,0.826657099575934,0.7622978219785
"ReThiN",1,100,12,0.826657099575934,0.7622978219785
"ReThiN",1,100,13,0.826657099575934,0.7622978219785
"ReThiN",1,100,14,0.826657099575934,0.7622978219785
"ReThiN",1,100,15,0.826657099575934,0.7622978219785
"ReThiN",1,100,16,0.826657099575934,0.7622978219785
"ReThiN",1,100,17,0.826657099575934,0.7622978219785
"ReThiN",1,100,18,0.826657099575934,0.7622978219785
"ReThiN",1,100,19,0.826657099575934,0.7622978219785
"ReThiN",1,100,20,0.826657099575934,0.7622978219785
"ReThiN",1,100,21,0.826657099575934,0.7622978219785
"ReThiN",1,100,22,0.826657099575934,0.7622978219785
"ReThiN",1,100,23,0.826657099575934,0.7622978219785
"ReThiN",1,100,24,0.826657099575934,0.7622978219785
"ReThiN",1,100,25,0.826657099575934,0.7622978219785
"ReThiN",1,100,26,0.826657099575934,0.7622978219785
"ReThiN",1,100,27,0.826657099575934,0.7622978219785
"ReThiN",1,100,28,0.826657099575934,0.7622978219785
"ReThiN",1,100,29,0.826657099575934,0.7622978219785
"ReThiN",1,100,30,0.826657099575934,0.7622978219785
"ReThiN",2,100,1,0.82167324848129,0.751308701118699
"ReThiN",2,100,2,0.82167324848129,0.751308701118699
"ReThiN",2,100,3,0.82167324848129,0.751308701118699
"ReThiN",2,100,4,0.82167324848129,0.751308701118699
"ReThiN",2,100,5,0.82167324848129,0.751308701118699
"ReThiN",2,100,6,0.82167324848129,0.751308701118699
"ReThiN",2,100,7,0.82167324848129,0.751308701118699
"ReThiN",2,100,8,0.82167324848129,0.751308701118699
"ReThiN",2,100,9,0.82167324848129,0.751308701118699
"ReThiN",2,100,10,0.82167324848129,0.751308701118699
"ReThiN",2,100,11,0.82167324848129,0.751308701118699
"ReThiN",2,100,12,0.82167324848129,0.751308701118699
"ReThiN",2,100,13,0.82167324848129,0.751308701118699
"ReThiN",2,100,14,0.82167324848129,0.751308701118699
"ReThiN",2,100,15,0.82167324848129,0.751308701118699
"ReThiN",2,100,16,0.82167324848129,0.751308701118699
"ReThiN",2,100,17,0.82167324848129,0.751308701118699
"ReThiN",2,100,18,0.82167324848129,0.751308701118699
"ReThiN",2,100,19,0.82167324848129,0.751308701118699
"ReThiN",2,100,20,0.82167324848129,0.751308701118699
"ReThiN",2,100,21,0.82167324848129,0.751308701118699
"ReThiN",2,100,22,0.82167324848129,0.751308701118699
"ReThiN",2,100,23,0.82167324848129,0.751308701118699
"ReThiN",2,100,24,0.82167324848129,0.751308701118699
"ReThiN",2,100,25,0.82167324848129,0.751308701118699
"ReThiN",2,100,26,0.82167324848129,0.751308701118699
"ReThiN",2,100,27,0.82167324848129,0.751308701118699
"ReThiN",2,100,28,0.82167324848129,0.751308701118699
"ReThiN",2,100,29,0.82167324848129,0.751308701118699
"ReThiN",2,100,30,0.82167324848129,0.751308701118699
"ReThiN",3,100,1,0.826657099575934,0.7622978219785
"ReThiN",3,100,2,0.826657099575934,0.7622978219785
"ReThiN",3,100,3,0.826657099575934,0.7622978219785
"ReThiN",3,100,4,0.826657099575934,0.7622978219785
"ReThiN",3,100,5,0.826657099575934,0.7622978219785
"ReThiN",3,100,6,0.826657099575934,0.7622978219785
"ReThiN",3,100,7,0.826657099575934,0.7622978219785
"ReThiN",3,100,8,0.826657099575934,0.7622978219785
"ReThiN",3,100,9,0.826657099575934,0.7622978219785
"ReThiN",3,100,10,0.826657099575934,0.7622978219785
"ReThiN",3,100,11,0.826657099575934,0.7622978219785
"ReThiN",3,100,12,0.826657099575934,0.7622978219785
"ReThiN",3,100,13,0.826657099575934,0.7622978219785
"ReThiN",3,100,14,0.826657099575934,0.7622978219785
"ReThiN",3,100,15,0.826657099575934,0.7622978219785
"ReThiN",3,100,16,0.826657099575934,0.7622978219785
"ReThiN",3,100,17,0.826657099575934,0.7622978219785
"ReThiN",3,100,18,0.826657099575934,0.7622978219785
"ReThiN",3,100,19,0.826657099575934,0.7622978219785
"ReThiN",3,100,20,0.826657099575934,0.7622978219785
"ReThiN",3,100,21,0.826657099575934,0.7622978219785
"ReThiN",3,100,22,0.826657099575934,0.7622978219785
"ReThiN",3,100,23,0.826657099575934,0.7622978219785
"ReThiN",3,100,24,0.826657099575934,0.7622978219785
"ReThiN",3,100,25,0.826657099575934,0.7622978219785
"ReThiN",3,100,26,0.826657099575934,0.7622978219785
"ReThiN",3,100,27,0.826657099575934,0.7622978219785
"ReThiN",3,100,28,0.826657099575934,0.7622978219785
"ReThiN",3,100,29,0.826657099575934,0.7622978219785
"ReThiN",3,100,30,0.826657099575934,0.7622978219785
"ReThiN",4,100,1,0.815684381330058,0.754633796917061
"ReThiN",4,100,2,0.815684381330058,0.754633796917061
"ReThiN",4,100,3,0.815684381330058,0.754633796917061
"ReThiN",4,100,4,0.815684381330058,0.754633796917061
"ReThiN",4,100,5,0.815684381330058,0.754633796917061
"ReThiN",4,100,6,0.815684381330058,0.754633796917061
"ReThiN",4,100,7,0.815684381330058,0.754633796917061
"ReThiN",4,100,8,0.815684381330058,0.754633796917061
"ReThiN",4,100,9,0.815684381330058,0.754633796917061
"ReThiN",4,100,10,0.815684381330058,0.754633796917061
"ReThiN",4,100,11,0.815684381330058,0.754633796917061
"ReThiN",4,100,12,0.815684381330058,0.754633796917061
"ReThiN",4,100,13,0.815684381330058,0.754633796917061
"ReThiN",4,100,14,0.815684381330058,0.754633796917061
"ReThiN",4,100,15,0.815684381330058,0.754633796917061
"ReThiN",4,100,16,0.815684381330058,0.754633796917061
"ReThiN",4,100,17,0.815684381330058,0.754633796917061
"ReThiN",4,100,18,0.815684381330058,0.754633796917061
"ReThiN",4,100,19,0.815684381330058,0.754633796917061
"ReThiN",4,100,20,0.815684381330058,0.754633796917061
"ReThiN",4,100,21,0.815684381330058,0.754633796917061
"ReThiN",4,100,22,0.815684381330058,0.754633796917061
"ReThiN",4,100,23,0.815684381330058,0.754633796917061
"ReThiN",4,100,24,0.815684381330058,0.754633796917061
"ReThiN",4,100,25,0.815684381330058,0.754633796917061
"ReThiN",4,100,26,0.815684381330058,0.754633796917061
"ReThiN",4,100,27,0.815684381330058,0.754633796917061
"ReThiN",4,100,28,0.815684381330058,0.754633796917061
"ReThiN",4,100,29,0.815684381330058,0.754633796917061
"ReThiN",4,100,30,0.815684381330058,0.754633796917061
"ReThiN",5,100,1,0.810738374316791,0.743688266697873
"ReThiN",5,100,2,0.810738374316791,0.743688266697873
"ReThiN",5,100,3,0.810738374316791,0.743688266697873
"ReThiN",5,100,4,0.810738374316791,0.743688266697873
"ReThiN",5,100,5,0.810738374316791,0.743688266697873
"ReThiN",5,100,6,0.810738374316791,0.743688266697873
"ReThiN",5,100,7,0.810738374316791,0.743688266697873
"ReThiN",5,100,8,0.810738374316791,0.743688266697873
"ReThiN",5,100,9,0.810738374316791,0.743688266697873
"ReThiN",5,100,10,0.810738374316791,0.743688266697873
"ReThiN",5,100,11,0.810738374316791,0.743688266697873
