"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN_NB",1,100,1,0.376698814455575,0.567243201752744
"ReThiN_NB",1,100,2,0.375931405066147,0.566392089134417
"ReThiN_NB",1,100,3,0.373032453653638,0.562076057591381
"ReThiN_NB",1,100,4,0.376698814455575,0.567243201752744
"ReThiN_NB",1,100,5,0.36821575667427,0.561782882932199
"ReThiN_NB",1,100,6,0.385798815151982,0.561800314002847
"ReThiN_NB",1,100,7,0.375267844479145,0.566853591087329
"ReThiN_NB",1,100,8,0.376698814455575,0.567243201752744
"ReThiN_NB",1,100,9,0.374923713086871,0.566380225216788
"ReThiN_NB",1,100,10,0.375550832092362,0.565920149823292
"ReThiN_NB",1,100,11,0.375550832092362,0.565920149823292
"ReThiN_NB",1,100,12,0.373030326600763,0.562134026532008
"ReThiN_NB",1,100,13,0.376243397304561,0.566037413346871
"ReThiN_NB",1,100,14,0.3773495837831,0.5660507358362
"ReThiN_NB",1,100,15,0.375931405066147,0.566392089134417
"ReThiN_NB",1,100,16,0.376698814455575,0.567243201752744
"ReThiN_NB",1,100,17,0.375931405066147,0.566392089134417
"ReThiN_NB",1,100,18,0.376698814455575,0.567243201752744
"ReThiN_NB",1,100,19,0.376698814455575,0.567243201752744
"ReThiN_NB",1,100,20,0.376698814455575,0.567243201752744
"ReThiN_NB",1,100,21,0.375550832092362,0.565920149823292
"ReThiN_NB",1,100,22,0.382880448904922,0.560146179265391
"ReThiN_NB",1,100,23,0.372696189646259,0.562917060685163
"ReThiN_NB",1,100,24,0.376275242391635,0.566865664409154
"ReThiN_NB",1,100,25,0.373032453653638,0.562076057591381
"ReThiN_NB",1,100,26,0.376275242391635,0.566865664409154
"ReThiN_NB",1,100,27,0.373032453653638,0.562076057591381
"ReThiN_NB",1,100,28,0.373032453653638,0.562076057591381
"ReThiN_NB",1,100,29,0.375550832092362,0.565920149823292
"ReThiN_NB",1,100,30,0.376698814455575,0.567243201752744
"ReThiN_NB",2,100,1,0.384629322640838,0.567460415135206
"ReThiN_NB",2,100,2,0.397242442690393,0.574916544826833
"ReThiN_NB",2,100,3,0.374082003123857,0.555677269800939
"ReThiN_NB",2,100,4,0.39728351201011,0.575595012090092
"ReThiN_NB",2,100,5,0.396740979306505,0.573643152005245
"ReThiN_NB",2,100,6,0.408180938317601,0.576722065900893
"ReThiN_NB",2,100,7,0.447892143809351,0.582710243893372
"ReThiN_NB",2,100,8,0.374082003123857,0.555677269800939
"ReThiN_NB",2,100,9,0.404597266595376,0.57363061245147
"ReThiN_NB",2,100,10,0.393044709147211,0.57417640951143
"ReThiN_NB",2,100,11,0.4093740943725,0.576977307214073
"ReThiN_NB",2,100,12,0.396333794675783,0.574799683406972
"ReThiN_NB",2,100,13,0.387844925443789,0.573453118000738
"ReThiN_NB",2,100,14,0.397856291254765,0.575965039139027
"ReThiN_NB",2,100,15,0.396906458190687,0.575169885918513
"ReThiN_NB",2,100,16,0.397242442690393,0.574916544826833
"ReThiN_NB",2,100,17,0.408677732141075,0.576544599439564
"ReThiN_NB",2,100,18,0.387003794353713,0.571742428497497
"ReThiN_NB",2,100,19,0.384968152955455,0.568504021123167
"ReThiN_NB",2,100,20,0.393176989809031,0.575179823452126
"ReThiN_NB",2,100,21,0.410574288411325,0.577946991559898
"ReThiN_NB",2,100,22,0.396333794675783,0.574799683406972
"ReThiN_NB",2,100,23,0.373016747073329,0.55496624692341
"ReThiN_NB",2,100,24,0.384629322640838,0.567460415135206
"ReThiN_NB",2,100,25,0.373016747073329,0.55496624692341
"ReThiN_NB",2,100,26,0.394745238213886,0.574484266457169
"ReThiN_NB",2,100,27,0.396333794675783,0.574799683406972
"ReThiN_NB",2,100,28,0.412709929177175,0.577644389214894
"ReThiN_NB",2,100,29,0.393752192561958,0.575549599552056
"ReThiN_NB",2,100,30,0.410574288411325,0.577946991559898
"ReThiN_NB",3,100,1,0.377432478786988,0.557442288112737
"ReThiN_NB",3,100,2,0.382852318877737,0.555939239951845
"ReThiN_NB",3,100,3,0.425967535488954,0.565868902736333
"ReThiN_NB",3,100,4,0.374421324066232,0.55989161119397
"ReThiN_NB",3,100,5,0.382806355436399,0.558166361655726
"ReThiN_NB",3,100,6,0.389065782167524,0.559014082525709
"ReThiN_NB",3,100,7,0.386501904295596,0.557541060895838
"ReThiN_NB",3,100,8,0.368614769156701,0.553699618402403
"ReThiN_NB",3,100,9,0.387277911456547,0.557490874601584
"ReThiN_NB",3,100,10,0.375764028699691,0.561170577403505
"ReThiN_NB",3,100,11,0.386972998172694,0.558502791612926
"ReThiN_NB",3,100,12,0.386972998172694,0.558502791612926
"ReThiN_NB",3,100,13,0.356225650824339,0.554827438262812
"ReThiN_NB",3,100,14,0.389183164330258,0.557758908261274
"ReThiN_NB",3,100,15,0.378165110964754,0.558635593642643
"ReThiN_NB",3,100,16,0.389183164330258,0.557758908261274
