"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN",1,100,1,0.487154648610497,0.654079213463127
"ReThiN",1,100,2,0.606425811255276,0.689811861359265
"ReThiN",1,100,3,0.483330875271886,0.651294179576131
"ReThiN",1,100,4,0.500518885906696,0.656583117487583
"ReThiN",1,100,5,0.603339076278197,0.686518662878603
"ReThiN",1,100,6,0.604848734302239,0.683031690442884
"ReThiN",1,100,7,0.607822329986825,0.687949229897581
"ReThiN",1,100,8,0.606425811255276,0.689811861359265
"ReThiN",1,100,9,0.604313013974519,0.692651252979402
"ReThiN",1,100,10,0.609105643245425,0.690631447625085
"ReThiN",1,100,11,0.606375627255557,0.688015651034725
"ReThiN",1,100,12,0.606425811255276,0.689811861359265
"ReThiN",1,100,13,0.573604222176094,0.680674301432923
"ReThiN",1,100,14,0.609105643245425,0.690631447625085
"ReThiN",1,100,15,0.606468372222664,0.68816487604138
"ReThiN",1,100,16,0.603568854006071,0.686724052307012
"ReThiN",1,100,17,0.609334258579141,0.690839281012881
"ReThiN",1,100,18,0.605334649461628,0.691163329728133
"ReThiN",1,100,19,0.483330875271886,0.651294179576131
"ReThiN",1,100,20,0.610649682798585,0.691055027912789
"ReThiN",1,100,21,0.606196752942407,0.689604876306842
"ReThiN",1,100,22,0.605401240093747,0.688788418995652
"ReThiN",1,100,23,0.600619329246894,0.678140190005975
"ReThiN",1,100,24,0.610649682798585,0.691055027912789
"ReThiN",1,100,25,0.495248635315683,0.653833791947118
"ReThiN",1,100,26,0.572865400765624,0.677833617250501
"ReThiN",1,100,27,0.572865400765624,0.677833617250501
"ReThiN",1,100,28,0.572865400765624,0.677833617250501
"ReThiN",1,100,29,0.603339076278197,0.686518662878603
"ReThiN",1,100,30,0.603339076278197,0.686518662878603
"ReThiN",2,100,1,0.604935903379954,0.683395167147469
"ReThiN",2,100,2,0.601476869601701,0.675718299796685
"ReThiN",2,100,3,0.594626798017688,0.670654718873013
"ReThiN",2,100,4,0.489226170892887,0.653981137548054
"ReThiN",2,100,5,0.573202642628176,0.678206956070168
"ReThiN",2,100,6,0.604404527110451,0.682444322238614
"ReThiN",2,100,7,0.590015265550818,0.672208368336391
"ReThiN",2,100,8,0.604935903379954,0.683395167147469
"ReThiN",2,100,9,0.606243383974429,0.694662335918222
"ReThiN",2,100,10,0.510927880353812,0.654849360223217
"ReThiN",2,100,11,0.619175525760779,0.695895790743959
"ReThiN",2,100,12,0.57430789726784,0.679552337384216
"ReThiN",2,100,13,0.575905685718815,0.681002669132158
"ReThiN",2,100,14,0.605601968400762,0.691470552714005
"ReThiN",2,100,15,0.600708999076521,0.676736846038554
"ReThiN",2,100,16,0.602388225743104,0.684597218625928
"ReThiN",2,100,17,0.515658356166433,0.665520212587171
"ReThiN",2,100,18,0.582992868953632,0.686468723845353
"ReThiN",2,100,19,0.592480791796365,0.672488159135727
"ReThiN",2,100,20,0.489226170892887,0.653981137548054
"ReThiN",2,100,21,0.575905685718815,0.681002669132158
"ReThiN",2,100,22,0.569488159379642,0.673645910387872
"ReThiN",2,100,23,0.605601968400762,0.691470552714005
"ReThiN",2,100,24,0.48554302918882,0.647689739876355
"ReThiN",2,100,25,0.60882036614773,0.686219201988384
"ReThiN",2,100,26,0.609642277830921,0.695728987884075
"ReThiN",2,100,27,0.574727406376315,0.679746868606541
"ReThiN",2,100,28,0.595048766158335,0.680541781646549
"ReThiN",2,100,29,0.48674409045509,0.649281277268532
"ReThiN",2,100,30,0.609165754744884,0.691805757954936
"ReThiN",3,100,1,0.595259485110802,0.677171800184627
"ReThiN",3,100,2,0.488749728701711,0.655100294948251
"ReThiN",3,100,3,0.486540544151089,0.656380544733288
"ReThiN",3,100,4,0.486100292347641,0.654737261509081
"ReThiN",3,100,5,0.623528027861008,0.70153326359752
"ReThiN",3,100,6,0.598682679903804,0.673291469149282
"ReThiN",3,100,7,0.605211599792648,0.6813467446924
"ReThiN",3,100,8,0.605530920229269,0.684928484452587
"ReThiN",3,100,9,0.622034006636411,0.703893208076336
"ReThiN",3,100,10,0.575648905851443,0.681767642605744
"ReThiN",3,100,11,0.601985551242963,0.678272336639284
"ReThiN",3,100,12,0.579237077084059,0.683134883311213
"ReThiN",3,100,13,0.501240360047007,0.659968045601972
"ReThiN",3,100,14,0.576500200599809,0.675945295312809
"ReThiN",3,100,15,0.611145759802051,0.690294035472823
"ReThiN",3,100,16,0.605785805229659,0.693700516678295
"ReThiN",3,100,17,0.573369278165216,0.668336493367501
"ReThiN",3,100,18,0.605745268112915,0.693663675360355
"ReThiN",3,100,19,0.473869031266379,0.642960486906031
"ReThiN",3,100,20,0.488749728701711,0.655100294948251
"ReThiN",3,100,21,0.489203088579932,0.644985329801736
"ReThiN",3,100,22,0.570067794070389,0.673324835585255
"ReThiN",3,100,23,0.605745268112915,0.693663675360355
"ReThiN",3,100,24,0.489563034621909,0.65497929753464
"ReThiN",3,100,25,0.591653819234138,0.693822215787331
"ReThiN",3,100,26,0.608090595582613,0.684158042379603
"ReThiN",3,100,27,0.48528400676092,0.654858290120851
"ReThiN",3,100,28,0.575648905851443,0.681767642605744
"ReThiN",3,100,29,0.486378270000858,0.652014168486558
"ReThiN",3,100,30,0.608642536024376,0.689604130676912
"ReThiN",4,100,1,0.491418276550781,0.645334030738085
"ReThiN",4,100,2,0.598147377999108,0.673605876419031
"ReThiN",4,100,3,0.596219202308999,0.67950780226992
"ReThiN",4,100,4,0.508140927123135,0.659051926837418
"ReThiN",4,100,5,0.479228386918275,0.646939826831685
"ReThiN",4,100,6,0.48789184527686,0.649974023723788
"ReThiN",4,100,7,0.610673171592173,0.692045799126594
"ReThiN",4,100,8,0.601522696407102,0.684642018257236
"ReThiN",4,100,9,0.611415157849615,0.695657555094396
"ReThiN",4,100,10,0.574223912001288,0.680478247580144
"ReThiN",4,100,11,0.572434640151004,0.675678351037825
"ReThiN",4,100,12,0.593184855006464,0.677199862847653
"ReThiN",4,100,13,0.481030376584654,0.650358469298413
"ReThiN",4,100,14,0.572434640151004,0.675678351037825
"ReThiN",4,100,15,0.476020176729242,0.641431157464668
"ReThiN",4,100,16,0.602569062101179,0.686666999809427
"ReThiN",4,100,17,0.481252495008256,0.651460239571144
"ReThiN",4,100,18,0.57259991680492,0.676125167077561
"ReThiN",4,100,19,0.483752296732968,0.649305584191397
"ReThiN",4,100,20,0.488028787661612,0.650025767011792
"ReThiN",4,100,21,0.483451672699565,0.652180021343545
"ReThiN",4,100,22,0.481077915724441,0.651024488347655
"ReThiN",4,100,23,0.598147377999108,0.673605876419031
"ReThiN",4,100,24,0.572434640151004,0.675678351037825
"ReThiN",4,100,25,0.503454661258029,0.656765601640112
"ReThiN",4,100,26,0.572434640151004,0.675678351037825
"ReThiN",4,100,27,0.574223912001288,0.680478247580144
"ReThiN",4,100,28,0.487164962987004,0.651047001240409
"ReThiN",4,100,29,0.521297606614038,0.665046054088559
"ReThiN",4,100,30,0.606590577565058,0.687987694533517
"ReThiN",5,100,1,0.571755843509779,0.673489809484169
"ReThiN",5,100,2,0.60097427751389,0.68499020565006
"ReThiN",5,100,3,0.516689203315324,0.662218179352276
"ReThiN",5,100,4,0.475625720753444,0.636985431515543
"ReThiN",5,100,5,0.570875445190507,0.676460108570058
"ReThiN",5,100,6,0.603872879066514,0.681714692400575
"ReThiN",5,100,7,0.482076748144296,0.646399017234119
"ReThiN",5,100,8,0.603872879066514,0.681714692400575
"ReThiN",5,100,9,0.602352069312799,0.691192180588187
"ReThiN",5,100,10,0.609125714906988,0.690086022716106
"ReThiN",5,100,11,0.61164908863508,0.692423787833319
"ReThiN",5,100,12,0.60097427751389,0.68499020565006
"ReThiN",5,100,13,0.609125714906988,0.690086022716106
"ReThiN",5,100,14,0.609125714906988,0.690086022716106
"ReThiN",5,100,15,0.482076748144296,0.646399017234119
"ReThiN",5,100,16,0.60097427751389,0.68499020565006
"ReThiN",5,100,17,0.575239604360248,0.672218668197167
"ReThiN",5,100,18,0.60097427751389,0.68499020565006
"ReThiN",5,100,19,0.484744528998013,0.650805615187737
"ReThiN",5,100,20,0.518156297744742,0.661160591502784
"ReThiN",5,100,21,0.575990885403587,0.680327680064434
"ReThiN",5,100,22,0.575239604360248,0.672218668197167
"ReThiN",5,100,23,0.486047398522285,0.652680516263337
"ReThiN",5,100,24,0.500250663713598,0.656579076537228
"ReThiN",5,100,25,0.51777564028053,0.660907434339541
"ReThiN",5,100,26,0.57999422368322,0.6824558624211
"ReThiN",5,100,27,0.570875445190507,0.676460108570058
"ReThiN",5,100,28,0.482076748144296,0.646399017234119
"ReThiN",5,100,29,0.608037141388309,0.690755576650078
"ReThiN",5,100,30,0.608037141388309,0.690755576650078
"PLit",1,100,1,0.452582131579338,0.634976173300137
"PLit",1,100,2,0.448283473354409,0.63255518959999
"PLit",1,100,3,0.447382290932417,0.631592941358072
"PLit",1,100,4,0.448283473354409,0.63255518959999
"PLit",1,100,5,0.498387060740264,0.648806803996874
"PLit",1,100,6,0.502909431743962,0.64993677102415
"PLit",1,100,7,0.449109497312744,0.631011765702606
"PLit",1,100,8,0.445078409541856,0.629049039658378
"PLit",1,100,9,0.496863557647553,0.648356462404212
"PLit",1,100,10,0.496863557647553,0.648356462404212
"PLit",1,100,11,0.514489496535825,0.662055097113333
"PLit",1,100,12,0.498712033147914,0.649054348757334
"PLit",1,100,13,0.452224380048067,0.635726149746268
"PLit",1,100,14,0.499629257975069,0.645453676947692
"PLit",1,100,15,0.498712033147914,0.649054348757334
"PLit",1,100,16,0.500425649778602,0.645820694719095
"PLit",1,100,17,0.450849514438869,0.631641102978632
"PLit",1,100,18,0.446146149388711,0.631865449328266
"PLit",1,100,19,0.450898816307972,0.632400595948706
"PLit",1,100,20,0.501067984782862,0.649236661240024
"PLit",1,100,21,0.454618603610312,0.634747126025173
"PLit",1,100,22,0.498387060740264,0.648806803996874
"PLit",1,100,23,0.498387060740264,0.648806803996874
"PLit",1,100,24,0.45110846561,0.631908286325854
"PLit",1,100,25,0.450124256050484,0.632199160139071
"PLit",1,100,26,0.420288334458572,0.62063417850398
"PLit",1,100,27,0.510790149560415,0.651914007588828
"PLit",1,100,28,0.452503116159045,0.632575227650621
"PLit",1,100,29,0.498387060740264,0.648806803996874
"PLit",1,100,30,0.585228247764875,0.673837978878917
"PLit",2,100,1,0.450385482694292,0.630971357345165
"PLit",2,100,2,0.497740915408427,0.648559719350607
"PLit",2,100,3,0.449707908204512,0.632399005708857
"PLit",2,100,4,0.502362960230663,0.647271480533722
"PLit",2,100,5,0.500609297415812,0.648500723493672
"PLit",2,100,6,0.503358308508123,0.651448315705526
"PLit",2,100,7,0.448858009225623,0.632012278666118
"PLit",2,100,8,0.450883067245433,0.633827080766668
"PLit",2,100,9,0.497740915408427,0.648559719350607
"PLit",2,100,10,0.449556410912603,0.631314222989207
"PLit",2,100,11,0.516688952528407,0.66244947512697
"PLit",2,100,12,0.502403816489159,0.648992176213494
"PLit",2,100,13,0.454110963945539,0.635625744626118
"PLit",2,100,14,0.502362960230663,0.647271480533722
"PLit",2,100,15,0.499403729126815,0.649073219492845
"PLit",2,100,16,0.498499292488513,0.648744151758284
"PLit",2,100,17,0.452138805596758,0.633129732693315
"PLit",2,100,18,0.449931169814335,0.633440336845021
"PLit",2,100,19,0.448937412505281,0.63152255377695
"PLit",2,100,20,0.500609297415812,0.648500723493672
"PLit",2,100,21,0.499403729126815,0.649073219492845
"PLit",2,100,22,0.499403729126815,0.649073219492845
"PLit",2,100,23,0.499403729126815,0.649073219492845
"PLit",2,100,24,0.447827164817733,0.632341890260722
"PLit",2,100,25,0.45042794731511,0.631541655161684
"PLit",2,100,26,0.516887141708964,0.665435815586247
"PLit",2,100,27,0.503434185671059,0.648288459382799
"PLit",2,100,28,0.451798642097166,0.631943755924225
"PLit",2,100,29,0.499403729126815,0.649073219492845
"PLit",2,100,30,0.498017026969732,0.645574981330184
"PLit",3,100,1,0.450385482694292,0.630971357345165
"PLit",3,100,2,0.497740915408427,0.648559719350607
"PLit",3,100,3,0.449707908204512,0.632399005708857
"PLit",3,100,4,0.502362960230663,0.647271480533722
"PLit",3,100,5,0.500609297415812,0.648500723493672
"PLit",3,100,6,0.503358308508123,0.651448315705526
"PLit",3,100,7,0.448858009225623,0.632012278666118
"PLit",3,100,8,0.450883067245433,0.633827080766668
"PLit",3,100,9,0.497740915408427,0.648559719350607
"PLit",3,100,10,0.449556410912603,0.631314222989207
"PLit",3,100,11,0.516688952528407,0.66244947512697
"PLit",3,100,12,0.502403816489159,0.648992176213494
"PLit",3,100,13,0.454110963945539,0.635625744626118
"PLit",3,100,14,0.502362960230663,0.647271480533722
"PLit",3,100,15,0.499403729126815,0.649073219492845
"PLit",3,100,16,0.498499292488513,0.648744151758284
"PLit",3,100,17,0.452138805596758,0.633129732693315
"PLit",3,100,18,0.449931169814335,0.633440336845021
"PLit",3,100,19,0.448937412505281,0.63152255377695
"PLit",3,100,20,0.500609297415812,0.648500723493672
"PLit",3,100,21,0.499403729126815,0.649073219492845
"PLit",3,100,22,0.499403729126815,0.649073219492845
"PLit",3,100,23,0.499403729126815,0.649073219492845
"PLit",3,100,24,0.447827164817733,0.632341890260722
"PLit",3,100,25,0.45042794731511,0.631541655161684
