"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN_NB",1,100,1,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,2,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,3,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,4,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,5,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,6,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,7,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,8,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,9,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,10,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,11,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,12,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,13,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,14,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,15,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,16,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,17,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,18,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,19,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,20,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,21,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,22,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,23,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,24,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,25,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,26,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,27,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,28,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,29,0.419315399588346,0.47687582601746
"ReThiN_NB",1,100,30,0.419315399588346,0.47687582601746
"ReThiN_NB",2,100,1,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,2,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,3,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,4,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,5,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,6,0.414638482211861,0.479280906718194
"ReThiN_NB",2,100,7,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,8,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,9,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,10,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,11,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,12,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,13,0.414638482211861,0.479280906718194
"ReThiN_NB",2,100,14,0.406788753766745,0.466133643811467
"ReThiN_NB",2,100,15,0.414638482211861,0.479280906718194
"ReThiN_NB",2,100,16,0.414638482211861,0.479280906718194
"ReThiN_NB",2,100,17,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,18,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,19,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,20,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,21,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,22,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,23,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,24,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,25,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,26,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,27,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,28,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,29,0.414501960624987,0.479342468210003
"ReThiN_NB",2,100,30,0.414501960624987,0.479342468210003
"ReThiN_NB",3,100,1,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,2,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,3,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,4,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,5,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,6,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,7,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,8,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,9,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,10,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,11,0.420827547625853,0.486002843366317
"ReThiN_NB",3,100,12,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,13,0.420827547625853,0.486002843366317
"ReThiN_NB",3,100,14,0.423454180897987,0.487388706181402
"ReThiN_NB",3,100,15,0.422218417790815,0.486837344961725
