"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN",1,100,1,0.619467626992893,0.66372195758027
"ReThiN",1,100,2,0.619467626992893,0.66372195758027
"ReThiN",1,100,3,0.619467626992893,0.66372195758027
"ReThiN",1,100,4,0.619467626992893,0.66372195758027
"ReThiN",1,100,5,0.619467626992893,0.66372195758027
"ReThiN",1,100,6,0.619467626992893,0.66372195758027
"ReThiN",1,100,7,0.626744835430404,0.686469175966122
"ReThiN",1,100,8,0.619467626992893,0.66372195758027
"ReThiN",1,100,9,0.626337012983809,0.685351129571417
"ReThiN",1,100,10,0.610970735209711,0.646278184041384
"ReThiN",1,100,11,0.619467626992893,0.66372195758027
"ReThiN",1,100,12,0.619467626992893,0.66372195758027
"ReThiN",1,100,13,0.619467626992893,0.66372195758027
"ReThiN",1,100,14,0.626337012983809,0.685351129571417
"ReThiN",1,100,15,0.619467626992893,0.66372195758027
"ReThiN",1,100,16,0.619467626992893,0.66372195758027
"ReThiN",1,100,17,0.619467626992893,0.66372195758027
"ReThiN",1,100,18,0.619467626992893,0.66372195758027
"ReThiN",1,100,19,0.619467626992893,0.66372195758027
"ReThiN",1,100,20,0.619467626992893,0.66372195758027
"ReThiN",1,100,21,0.619467626992893,0.66372195758027
"ReThiN",1,100,22,0.619467626992893,0.66372195758027
"ReThiN",1,100,23,0.619467626992893,0.66372195758027
"ReThiN",1,100,24,0.619467626992893,0.66372195758027
"ReThiN",1,100,25,0.619467626992893,0.66372195758027
"ReThiN",1,100,26,0.619467626992893,0.66372195758027
"ReThiN",1,100,27,0.619467626992893,0.66372195758027
"ReThiN",1,100,28,0.626337012983809,0.685351129571417
"ReThiN",1,100,29,0.619467626992893,0.66372195758027
"ReThiN",1,100,30,0.619467626992893,0.66372195758027
"ReThiN",2,100,1,0.618106685055678,0.663003819118153
"ReThiN",2,100,2,0.618106685055678,0.663003819118153
"ReThiN",2,100,3,0.618106685055678,0.663003819118153
"ReThiN",2,100,4,0.618106685055678,0.663003819118153
"ReThiN",2,100,5,0.618106685055678,0.663003819118153
"ReThiN",2,100,6,0.619215713536779,0.660472466752979
"ReThiN",2,100,7,0.618106685055678,0.663003819118153
"ReThiN",2,100,8,0.618106685055678,0.663003819118153
"ReThiN",2,100,9,0.618106685055678,0.663003819118153
"ReThiN",2,100,10,0.618106685055678,0.663003819118153
"ReThiN",2,100,11,0.618106685055678,0.663003819118153
"ReThiN",2,100,12,0.618106685055678,0.663003819118153
"ReThiN",2,100,13,0.618106685055678,0.663003819118153
"ReThiN",2,100,14,0.618106685055678,0.663003819118153
"ReThiN",2,100,15,0.618106685055678,0.663003819118153
"ReThiN",2,100,16,0.618106685055678,0.663003819118153
"ReThiN",2,100,17,0.618106685055678,0.663003819118153
"ReThiN",2,100,18,0.618106685055678,0.663003819118153
"ReThiN",2,100,19,0.618106685055678,0.663003819118153
"ReThiN",2,100,20,0.618106685055678,0.663003819118153
"ReThiN",2,100,21,0.618106685055678,0.663003819118153
"ReThiN",2,100,22,0.617661122790351,0.660782814067453
"ReThiN",2,100,23,0.618106685055678,0.663003819118153
"ReThiN",2,100,24,0.618106685055678,0.663003819118153
"ReThiN",2,100,25,0.618106685055678,0.663003819118153
"ReThiN",2,100,26,0.618106685055678,0.663003819118153
"ReThiN",2,100,27,0.618106685055678,0.663003819118153
"ReThiN",2,100,28,0.618106685055678,0.663003819118153
"ReThiN",2,100,29,0.618106685055678,0.663003819118153
"ReThiN",2,100,30,0.618106685055678,0.663003819118153
"ReThiN",3,100,1,0.620075014317865,0.664398606868071
"ReThiN",3,100,2,0.620075014317865,0.664398606868071
"ReThiN",3,100,3,0.620075014317865,0.664398606868071
"ReThiN",3,100,4,0.620075014317865,0.664398606868071
"ReThiN",3,100,5,0.620012513033395,0.66446385056766
"ReThiN",3,100,6,0.620075014317865,0.664398606868071
"ReThiN",3,100,7,0.630929030741946,0.68695073999081
"ReThiN",3,100,8,0.620075014317865,0.664398606868071
"ReThiN",3,100,9,0.625690269932948,0.685965973233188
"ReThiN",3,100,10,0.612984265422093,0.6492608604213
"ReThiN",3,100,11,0.620012513033395,0.66446385056766
"ReThiN",3,100,12,0.625690269932948,0.685965973233188
"ReThiN",3,100,13,0.620075014317865,0.664398606868071
"ReThiN",3,100,14,0.628323471540446,0.686372084083396
"ReThiN",3,100,15,0.620075014317865,0.664398606868071
"ReThiN",3,100,16,0.620012513033395,0.66446385056766
"ReThiN",3,100,17,0.620075014317865,0.664398606868071
"ReThiN",3,100,18,0.620075014317865,0.664398606868071
"ReThiN",3,100,19,0.620012513033395,0.66446385056766
"ReThiN",3,100,20,0.620012513033395,0.66446385056766
"ReThiN",3,100,21,0.620075014317865,0.664398606868071
"ReThiN",3,100,22,0.620075014317865,0.664398606868071
"ReThiN",3,100,23,0.620012513033395,0.66446385056766
"ReThiN",3,100,24,0.620075014317865,0.664398606868071
"ReThiN",3,100,25,0.620075014317865,0.664398606868071
"ReThiN",3,100,26,0.620075014317865,0.664398606868071
"ReThiN",3,100,27,0.620075014317865,0.664398606868071
"ReThiN",3,100,28,0.626141995417422,0.687054832391511
"ReThiN",3,100,29,0.620075014317865,0.664398606868071
"ReThiN",3,100,30,0.620075014317865,0.664398606868071
"ReThiN",4,100,1,0.619467626992893,0.66372195758027
"ReThiN",4,100,2,0.619467626992893,0.66372195758027
"ReThiN",4,100,3,0.619467626992893,0.66372195758027
"ReThiN",4,100,4,0.619467626992893,0.66372195758027
"ReThiN",4,100,5,0.619467626992893,0.66372195758027
"ReThiN",4,100,6,0.619467626992893,0.66372195758027
"ReThiN",4,100,7,0.626744835430404,0.686469175966122
"ReThiN",4,100,8,0.619467626992893,0.66372195758027
"ReThiN",4,100,9,0.626337012983809,0.685351129571417
"ReThiN",4,100,10,0.610970735209711,0.646278184041384
"ReThiN",4,100,11,0.619467626992893,0.66372195758027
"ReThiN",4,100,12,0.619467626992893,0.66372195758027
"ReThiN",4,100,13,0.619467626992893,0.66372195758027
"ReThiN",4,100,14,0.626337012983809,0.685351129571417
"ReThiN",4,100,15,0.619467626992893,0.66372195758027
"ReThiN",4,100,16,0.619467626992893,0.66372195758027
"ReThiN",4,100,17,0.619467626992893,0.66372195758027
"ReThiN",4,100,18,0.619467626992893,0.66372195758027
"ReThiN",4,100,19,0.619467626992893,0.66372195758027
