"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN",1,100,1,0.526179715686785,0.636419037903852
"ReThiN",1,100,2,0.526146278296592,0.636456786820832
"ReThiN",1,100,3,0.526179715686785,0.636419037903852
"ReThiN",1,100,4,0.52574236611154,0.636385695688972
"ReThiN",1,100,5,0.526179715686785,0.636419037903852
"ReThiN",1,100,6,0.525773391715715,0.636455315691873
"ReThiN",1,100,7,0.526552555315407,0.636420509032811
"ReThiN",1,100,8,0.526179715686785,0.636419037903852
"ReThiN",1,100,9,0.525773391715715,0.636455315691873
"ReThiN",1,100,10,0.526179715686785,0.636419037903852
"ReThiN",1,100,11,0.52574236611154,0.636385695688972
"ReThiN",1,100,12,0.528261132779885,0.637562194338709
"ReThiN",1,100,13,0.526552555315407,0.636420509032811
"ReThiN",1,100,14,0.525773391715715,0.636455315691873
"ReThiN",1,100,15,0.52574236611154,0.636385695688972
"ReThiN",1,100,16,0.526179715686785,0.636419037903852
"ReThiN",1,100,17,0.526179715686785,0.636419037903852
"ReThiN",1,100,18,0.525773391715715,0.636455315691873
"ReThiN",1,100,19,0.525773391715715,0.636455315691873
"ReThiN",1,100,20,0.525773391715715,0.636455315691873
"ReThiN",1,100,21,0.52611513475321,0.636387166817932
"ReThiN",1,100,22,0.52574236611154,0.636385695688972
"ReThiN",1,100,23,0.526552555315407,0.636420509032811
"ReThiN",1,100,24,0.526179715686785,0.636419037903852
"ReThiN",1,100,25,0.526179715686785,0.636419037903852
"ReThiN",1,100,26,0.528735661562496,0.637614824936647
"ReThiN",1,100,27,0.526552555315407,0.636420509032811
"ReThiN",1,100,28,0.526552555315407,0.636420509032811
"ReThiN",1,100,29,0.52574236611154,0.636385695688972
"ReThiN",1,100,30,0.526179715686785,0.636419037903852
"ReThiN",2,100,1,0.521241843659778,0.633323585182625
"ReThiN",2,100,2,0.521241843659778,0.633323585182625
"ReThiN",2,100,3,0.521248961373278,0.633363869629
"ReThiN",2,100,4,0.520869397620085,0.633894220224805
"ReThiN",2,100,5,0.521248961373278,0.633363869629
"ReThiN",2,100,6,0.521241843659778,0.633323585182625
"ReThiN",2,100,7,0.521241843659778,0.633323585182625
"ReThiN",2,100,8,0.51890612537123,0.632788800874507
"ReThiN",2,100,9,0.520842722481056,0.633545190347603
"ReThiN",2,100,10,0.521241843659778,0.633323585182625
"ReThiN",2,100,11,0.521241843659778,0.633323585182625
"ReThiN",2,100,12,0.52418451046637,0.634738668040258
"ReThiN",2,100,13,0.521241843659778,0.633323585182625
"ReThiN",2,100,14,0.520869397620085,0.633894220224805
"ReThiN",2,100,15,0.521241843659778,0.633323585182625
"ReThiN",2,100,16,0.520271874677393,0.633209640234277
"ReThiN",2,100,17,0.523959873737078,0.633374497047946
"ReThiN",2,100,18,0.521241843659778,0.633323585182625
"ReThiN",2,100,19,0.521241843659778,0.633323585182625
"ReThiN",2,100,20,0.523952955655698,0.633334212601572
"ReThiN",2,100,21,0.523952955655698,0.633334212601572
"ReThiN",2,100,22,0.522990948497342,0.63390680412289
"ReThiN",2,100,23,0.523572103572688,0.633904847643751
"ReThiN",2,100,24,0.520610741421672,0.633303718183618
"ReThiN",2,100,25,0.521241843659778,0.633323585182625
"ReThiN",2,100,26,0.521241843659778,0.633323585182625
"ReThiN",2,100,27,0.523952955655698,0.633334212601572
"ReThiN",2,100,28,0.521241843659778,0.633323585182625
"ReThiN",2,100,29,0.521241843659778,0.633323585182625
"ReThiN",2,100,30,0.521241843659778,0.633323585182625
"ReThiN",3,100,1,0.521871761810038,0.632825936250196
"ReThiN",3,100,2,0.521893614618548,0.632486162329793
"ReThiN",3,100,3,0.521871761810038,0.632825936250196
"ReThiN",3,100,4,0.521871761810038,0.632825936250196
"ReThiN",3,100,5,0.521871761810038,0.632825936250196
"ReThiN",3,100,6,0.521871761810038,0.632825936250196
"ReThiN",3,100,7,0.521893614618548,0.632486162329793
"ReThiN",3,100,8,0.521871761810038,0.632825936250196
"ReThiN",3,100,9,0.521871761810038,0.632825936250196
"ReThiN",3,100,10,0.521871761810038,0.632825936250196
"ReThiN",3,100,11,0.521871761810038,0.632825936250196
"ReThiN",3,100,12,0.521871761810038,0.632825936250196
"ReThiN",3,100,13,0.521871761810038,0.632825936250196
"ReThiN",3,100,14,0.521871761810038,0.632825936250196
"ReThiN",3,100,15,0.521893614618548,0.632486162329793
"ReThiN",3,100,16,0.521871761810038,0.632825936250196
"ReThiN",3,100,17,0.521871761810038,0.632825936250196
"ReThiN",3,100,18,0.521893614618548,0.632486162329793
"ReThiN",3,100,19,0.521871761810038,0.632825936250196
"ReThiN",3,100,20,0.521871761810038,0.632825936250196
"ReThiN",3,100,21,0.521871761810038,0.632825936250196
"ReThiN",3,100,22,0.521871761810038,0.632825936250196
"ReThiN",3,100,23,0.521871761810038,0.632825936250196
"ReThiN",3,100,24,0.521871761810038,0.632825936250196
"ReThiN",3,100,25,0.521871761810038,0.632825936250196
"ReThiN",3,100,26,0.521871761810038,0.632825936250196
"ReThiN",3,100,27,0.524193194951052,0.632835043912686
"ReThiN",3,100,28,0.521871761810038,0.632825936250196
"ReThiN",3,100,29,0.521871761810038,0.632825936250196
"ReThiN",3,100,30,0.521871761810038,0.632825936250196
"ReThiN",4,100,1,0.52759702279294,0.636652164772015
"ReThiN",4,100,2,0.52759702279294,0.636652164772015
"ReThiN",4,100,3,0.526294495464872,0.63614300986449
"ReThiN",4,100,4,0.525890290454255,0.636179843123493
"ReThiN",4,100,5,0.527262989940613,0.636713399242046
"ReThiN",4,100,6,0.525890290454255,0.636179843123493
"ReThiN",4,100,7,0.52759702279294,0.636652164772015
"ReThiN",4,100,8,0.527262989940613,0.636713399242046
"ReThiN",4,100,9,0.527262989940613,0.636713399242046
"ReThiN",4,100,10,0.527886617107649,0.636845595787027
"ReThiN",4,100,11,0.527262989940613,0.636713399242046
"ReThiN",4,100,12,0.527886617107649,0.636845595787027
"ReThiN",4,100,13,0.52759702279294,0.636652164772015
"ReThiN",4,100,14,0.527262989940613,0.636713399242046
"ReThiN",4,100,15,0.52759702279294,0.636652164772015
"ReThiN",4,100,16,0.52759702279294,0.636652164772015
"ReThiN",4,100,17,0.527886617107649,0.636845595787027
"ReThiN",4,100,18,0.52759702279294,0.636652164772015
"ReThiN",4,100,19,0.527262989940613,0.636713399242046
"ReThiN",4,100,20,0.527262989940613,0.636713399242046
"ReThiN",4,100,21,0.527262989940613,0.636713399242046
"ReThiN",4,100,22,0.525890290454255,0.636179843123493
"ReThiN",4,100,23,0.525890290454255,0.636179843123493
"ReThiN",4,100,24,0.527262989940613,0.636713399242046
"ReThiN",4,100,25,0.527271141531702,0.637008428020861
"ReThiN",4,100,26,0.527262989940613,0.636713399242046
"ReThiN",4,100,27,0.525890290454255,0.636179843123493
"ReThiN",4,100,28,0.52759702279294,0.636652164772015
"ReThiN",4,100,29,0.52759702279294,0.636652164772015
"ReThiN",4,100,30,0.527262989940613,0.636713399242046
"ReThiN",5,100,1,0.521160913479739,0.632490517952874
