"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN",1,100,1,0.848993363852108,0.856287293329175
"ReThiN",1,100,2,0.848993363852108,0.856287293329175
"ReThiN",1,100,3,0.848993363852108,0.856287293329175
"ReThiN",1,100,4,0.848993363852108,0.856287293329175
"ReThiN",1,100,5,0.848993363852108,0.856287293329175
"ReThiN",1,100,6,0.848993363852108,0.856287293329175
"ReThiN",1,100,7,0.848993363852108,0.856287293329175
"ReThiN",1,100,8,0.848993363852108,0.856287293329175
"ReThiN",1,100,9,0.848993363852108,0.856287293329175
"ReThiN",1,100,10,0.848993363852108,0.856287293329175
"ReThiN",1,100,11,0.848993363852108,0.856287293329175
"ReThiN",1,100,12,0.848993363852108,0.856287293329175
"ReThiN",1,100,13,0.848993363852108,0.856287293329175
"ReThiN",1,100,14,0.848993363852108,0.856287293329175
"ReThiN",1,100,15,0.848993363852108,0.856287293329175
"ReThiN",1,100,16,0.848993363852108,0.856287293329175
"ReThiN",1,100,17,0.848993363852108,0.856287293329175
"ReThiN",1,100,18,0.848993363852108,0.856287293329175
"ReThiN",1,100,19,0.848993363852108,0.856287293329175
"ReThiN",1,100,20,0.848993363852108,0.856287293329175
"ReThiN",1,100,21,0.848993363852108,0.856287293329175
"ReThiN",1,100,22,0.848993363852108,0.856287293329175
"ReThiN",1,100,23,0.848993363852108,0.856287293329175
"ReThiN",1,100,24,0.848993363852108,0.856287293329175
"ReThiN",1,100,25,0.848993363852108,0.856287293329175
"ReThiN",1,100,26,0.848993363852108,0.856287293329175
"ReThiN",1,100,27,0.848993363852108,0.856287293329175
"ReThiN",1,100,28,0.848993363852108,0.856287293329175
"ReThiN",1,100,29,0.848993363852108,0.856287293329175
"ReThiN",1,100,30,0.848993363852108,0.856287293329175
"ReThiN",2,100,1,0.838693305672368,0.849160784355895
"ReThiN",2,100,2,0.838693305672368,0.849160784355895
"ReThiN",2,100,3,0.838693305672368,0.849160784355895
"ReThiN",2,100,4,0.838693305672368,0.849160784355895
"ReThiN",2,100,5,0.838693305672368,0.849160784355895
"ReThiN",2,100,6,0.838693305672368,0.849160784355895
"ReThiN",2,100,7,0.838693305672368,0.849160784355895
"ReThiN",2,100,8,0.838693305672368,0.849160784355895
"ReThiN",2,100,9,0.838693305672368,0.849160784355895
"ReThiN",2,100,10,0.838693305672368,0.849160784355895
"ReThiN",2,100,11,0.838693305672368,0.849160784355895
"ReThiN",2,100,12,0.838693305672368,0.849160784355895
"ReThiN",2,100,13,0.838693305672368,0.849160784355895
"ReThiN",2,100,14,0.838693305672368,0.849160784355895
"ReThiN",2,100,15,0.838693305672368,0.849160784355895
"ReThiN",2,100,16,0.838693305672368,0.849160784355895
"ReThiN",2,100,17,0.838693305672368,0.849160784355895
"ReThiN",2,100,18,0.838693305672368,0.849160784355895
"ReThiN",2,100,19,0.838693305672368,0.849160784355895
"ReThiN",2,100,20,0.838693305672368,0.849160784355895
"ReThiN",2,100,21,0.838693305672368,0.849160784355895
"ReThiN",2,100,22,0.838693305672368,0.849160784355895
"ReThiN",2,100,23,0.838693305672368,0.849160784355895
"ReThiN",2,100,24,0.838693305672368,0.849160784355895
"ReThiN",2,100,25,0.838693305672368,0.849160784355895
"ReThiN",2,100,26,0.838693305672368,0.849160784355895
"ReThiN",2,100,27,0.838693305672368,0.849160784355895
"ReThiN",2,100,28,0.838693305672368,0.849160784355895
"ReThiN",2,100,29,0.838693305672368,0.849160784355895
"ReThiN",2,100,30,0.838693305672368,0.849160784355895
"ReThiN",3,100,1,0.848848481374271,0.855398940398915
"ReThiN",3,100,2,0.848848481374271,0.855398940398915
"ReThiN",3,100,3,0.848848481374271,0.855398940398915
"ReThiN",3,100,4,0.848848481374271,0.855398940398915
"ReThiN",3,100,5,0.848848481374271,0.855398940398915
"ReThiN",3,100,6,0.848848481374271,0.855398940398915
"ReThiN",3,100,7,0.848848481374271,0.855398940398915
"ReThiN",3,100,8,0.848848481374271,0.855398940398915
"ReThiN",3,100,9,0.848848481374271,0.855398940398915
