"Method","BS_seed","K","KM_seed","ARI","NMI"
"ReThiN_NB",1,100,1,0.19934350121389,0.299720422139302
"ReThiN_NB",1,100,2,0.194392588338061,0.296524672274106
"ReThiN_NB",1,100,3,0.189835450504761,0.305009735223402
"ReThiN_NB",1,100,4,0.20637347710191,0.30382656517293
"ReThiN_NB",1,100,5,0.200455978680907,0.300345846857715
"ReThiN_NB",1,100,6,0.200792478508673,0.301005579491739
"ReThiN_NB",1,100,7,0.202414367656724,0.303850115851831
"ReThiN_NB",1,100,8,0.198821433025403,0.297111143356939
"ReThiN_NB",1,100,9,0.200686334531856,0.299973188864933
"ReThiN_NB",1,100,10,0.200810852426224,0.299954749412032
"ReThiN_NB",1,100,11,0.202336278874962,0.302135793720694
"ReThiN_NB",1,100,12,0.198450028970977,0.298899514060225
"ReThiN_NB",1,100,13,0.204350829013496,0.302426309285824
"ReThiN_NB",1,100,14,0.20006376765333,0.300007536659721
"ReThiN_NB",1,100,15,0.184594939482232,0.296772478416756
"ReThiN_NB",1,100,16,0.200731835342007,0.300411833245129
"ReThiN_NB",1,100,17,0.200752327296312,0.3006054967902
"ReThiN_NB",1,100,18,0.194111262187295,0.294809868365491
"ReThiN_NB",1,100,19,0.196764011486228,0.297243676425882
"ReThiN_NB",1,100,20,0.191306484124687,0.30611929312189
"ReThiN_NB",1,100,21,0.190397242318774,0.305554629624355
"ReThiN_NB",1,100,22,0.198324530358407,0.298435025428532
"ReThiN_NB",1,100,23,0.199711272267991,0.300462422051943
"ReThiN_NB",1,100,24,0.184473705141008,0.301015959331955
"ReThiN_NB",1,100,25,0.201004057096467,0.303861815746412
"ReThiN_NB",1,100,26,0.254324192017482,0.298331541782159
"ReThiN_NB",1,100,27,0.187890967105063,0.302204924487592
"ReThiN_NB",1,100,28,0.199109415464334,0.300290825678225
"ReThiN_NB",1,100,29,0.201222857460041,0.301146997706352
"ReThiN_NB",1,100,30,0.199914418177726,0.300444207707442
"ReThiN_NB",2,100,1,0.222919269361581,0.332557613743068
"ReThiN_NB",2,100,2,0.226326207973277,0.334537515314549
"ReThiN_NB",2,100,3,0.221654949474803,0.331572312909578
"ReThiN_NB",2,100,4,0.224889372369577,0.322202839462565
"ReThiN_NB",2,100,5,0.225942116715489,0.334154350087121
"ReThiN_NB",2,100,6,0.22564959604771,0.333807175638773
"ReThiN_NB",2,100,7,0.22560420628174,0.334440296470524
"ReThiN_NB",2,100,8,0.223523716819916,0.333959657333108
"ReThiN_NB",2,100,9,0.224667277646215,0.33358024840912
"ReThiN_NB",2,100,10,0.224510312402653,0.322239282736173
"ReThiN_NB",2,100,11,0.226139512938385,0.334166517281962
"ReThiN_NB",2,100,12,0.223956403161921,0.322153999535353
"ReThiN_NB",2,100,13,0.222790059330221,0.332336320562296
"ReThiN_NB",2,100,14,0.227256144744517,0.334960857414341
"ReThiN_NB",2,100,15,0.223650639098816,0.332782269066111
"ReThiN_NB",2,100,16,0.227311789179159,0.334515790266732
"ReThiN_NB",2,100,17,0.226777448035666,0.334151218742976
"ReThiN_NB",2,100,18,0.226519517833174,0.323592977572136
"ReThiN_NB",2,100,19,0.225646087668004,0.323235180086308
"ReThiN_NB",2,100,20,0.224846586382015,0.333730654377413
"ReThiN_NB",2,100,21,0.224756180906487,0.333588722308777
"ReThiN_NB",2,100,22,0.224994396390585,0.322947309699558
"ReThiN_NB",2,100,23,0.227562519316315,0.334874583045888
"ReThiN_NB",2,100,24,0.225101842720692,0.322506708225919
"ReThiN_NB",2,100,25,0.225591132558657,0.334207663523204
"ReThiN_NB",2,100,26,0.223121394802128,0.331959942717049
"ReThiN_NB",2,100,27,0.221555619781124,0.331374195849446
"ReThiN_NB",2,100,28,0.225879891538433,0.334617842227316
"ReThiN_NB",2,100,29,0.226844780855079,0.334380171440342
"ReThiN_NB",2,100,30,0.224582209403826,0.332836718064416
"ReThiN_NB",3,100,1,0.170999480349574,0.284611474215216
"ReThiN_NB",3,100,2,0.170974518917731,0.284565703929102
"ReThiN_NB",3,100,3,0.199819931276115,0.29904227532402
"ReThiN_NB",3,100,4,0.173298171250134,0.285864374847657
"ReThiN_NB",3,100,5,0.194826082398199,0.306342393925249
"ReThiN_NB",3,100,6,0.194651291177007,0.306352764245496
"ReThiN_NB",3,100,7,0.170879438538977,0.283803653009653
"ReThiN_NB",3,100,8,0.195871636514944,0.295870209649598
"ReThiN_NB",3,100,9,0.170004419971171,0.283114928830239
"ReThiN_NB",3,100,10,0.195682231813716,0.295182323161371
"ReThiN_NB",3,100,11,0.172061053827537,0.285349215659353
"ReThiN_NB",3,100,12,0.195864500799332,0.298118019305257
"ReThiN_NB",3,100,13,0.196574911570462,0.298082260588083
"ReThiN_NB",3,100,14,0.182575922176297,0.295181645964138
"ReThiN_NB",3,100,15,0.186416879792764,0.29858276805451
"ReThiN_NB",3,100,16,0.193156064995132,0.293346362164014
"ReThiN_NB",3,100,17,0.169151752818824,0.283692094672313
"ReThiN_NB",3,100,18,0.182674717751315,0.287133159015965
"ReThiN_NB",3,100,19,0.16982530022266,0.283261378657168
"ReThiN_NB",3,100,20,0.195014962117589,0.30655887519024
"ReThiN_NB",3,100,21,0.180257487672618,0.294479818898484
"ReThiN_NB",3,100,22,0.173185852471808,0.285396766607307
"ReThiN_NB",3,100,23,0.180087126082664,0.292767007727693
"ReThiN_NB",3,100,24,0.193954390726181,0.30565278431768
"ReThiN_NB",3,100,25,0.176610757398061,0.291214726309677
"ReThiN_NB",3,100,26,0.173986572805401,0.286528999026621
"ReThiN_NB",3,100,27,0.201445947793996,0.299353177679548
"ReThiN_NB",3,100,28,0.195042784615613,0.306558875190239
"ReThiN_NB",3,100,29,0.178760926794208,0.292772538711833
"ReThiN_NB",3,100,30,0.193666749395223,0.293616860926693
"ReThiN_NB",4,100,1,0.173100804756869,0.287830589238969
"ReThiN_NB",4,100,2,0.197676308929009,0.307504010102757
"ReThiN_NB",4,100,3,0.2048368908493,0.302875473251118
"ReThiN_NB",4,100,4,0.202521650458108,0.300935229706364
"ReThiN_NB",4,100,5,0.20408929975857,0.301916128354471
"ReThiN_NB",4,100,6,0.200644131324975,0.308140454089847
"ReThiN_NB",4,100,7,0.175259875582844,0.288858724527169
"ReThiN_NB",4,100,8,0.204087172732993,0.301271779418232
